Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,CropType
0.192446379,0.191327017,0.210436064,0.265294633,0.295329423,0.286931024,0.288937326,0.301710849,0.31458589,apple
0.466575639,0.59981119,0.68657122,0.681103833,0.618237868,0.610078891,0.581589497,0.513011012,0.466562358,apple
0.51838437,0.571036549,0.600180538,0.594808556,0.578447659,0.575180858,0.483159735,0.381747271,0.318856142,apple
0.170496978,0.237879563,0.258928784,0.278637677,0.313334543,0.296088056,0.213706619,0.152452892,0.130940032,apple
0.41873573,0.518177842,0.605977674,0.662784541,0.659698203,0.625165911,0.550200989,0.502828159,0.482889677,apple
0.422256807,0.487425727,0.559652144,0.619494794,0.6372806,0.618124471,0.515943765,0.382515258,0.32542093,apple
0.434116619,0.501152608,0.576977745,0.589116676,0.535378212,0.555027189,0.49395344,0.390362219,0.34550875,apple
0.362849622,0.511258566,0.623317422,0.650863057,0.602782512,0.517346055,0.439292209,0.414021981,0.40416556,apple
0.533333314,0.614874354,0.662000302,0.657529677,0.636507737,0.659989233,0.622568394,0.535807279,0.477971493,apple
0.498322619,0.620577539,0.696852453,0.705996035,0.687493961,0.694113799,0.605730814,0.452488195,0.349908333,apple
0.469820793,0.603308993,0.692129298,0.709652834,0.687923655,0.671373616,0.566551318,0.486381523,0.41285926,apple
0.457288236,0.597611132,0.70682485,0.739528684,0.705762238,0.689222422,0.61731238,0.490870887,0.415633085,apple
,0.672725225,0.732831322,0.730518925,0.707579915,0.686517279,0.557949196,0.341116948,,apple
0.442294893,0.543648072,0.623140965,0.665000563,0.637573699,0.59614914,0.496344189,0.371002252,0.318986196,apple
0.519334147,0.583180463,0.650749955,0.675253967,0.616435321,0.590686511,0.579780577,0.519719713,0.467208315,apple
0.449561985,0.584709386,0.670782994,0.682069735,0.643644817,0.641931922,0.553159908,0.480457304,0.413664874,apple
0.474115905,0.614719343,0.715348513,0.741834471,0.661293954,0.582359726,0.536067029,0.498752676,0.468461379,apple
0.488798356,0.527303426,0.552055003,0.555289774,0.541036561,0.541639095,0.493583814,0.462602169,,apple
0.452359133,0.509942253,0.591875712,0.654678775,0.562360926,0.47361362,0.46683853,0.454344723,0.437608088,apple
0.383627527,0.550054464,0.646728137,0.674650869,0.628170907,0.600359286,0.462609075,0.331662984,0.284003655,apple
0.108239033,0.108639353,0.181130033,0.41290488,0.484977916,0.25075562,0.156895032,0.186632467,0.211447737,fallow
0.272557273,0.367894409,0.431482145,0.442913791,0.411194584,0.348442981,0.272074718,0.223964198,,fallow
0.268765538,0.263841617,0.285790918,0.412979569,0.627510076,0.45475193,0.210998699,0.080558343,0.026087256,fallow
0.512542874,0.32960661,0.181158841,0.136461798,0.143510411,0.123823945,0.108795023,0.099685284,0.095768646,fallow
0.270648635,0.347546426,0.424026521,0.475360657,0.475142012,0.412920616,0.28280154,0.219009173,0.16145853,fallow
0.591880138,0.643991416,0.681157226,0.664748048,0.561383859,0.487068642,0.335049784,0.175164321,0.05848531,fallow
0.230517861,0.32759979,0.324340382,0.24496311,0.21084809,0.177874296,0.146464107,0.126417831,,fallow
0.572958893,0.390278899,0.297297326,0.303829674,0.320181992,0.287439556,0.234161128,0.220105141,0.212638943,fallow
0.395182742,0.378787116,0.348894517,0.305246913,0.286412872,0.287572614,0.230868007,0.119951092,0.058170405,fallow
,0.310636075,0.256196155,0.309331212,0.451046635,0.437603655,0.299145678,0.236128208,,fallow
0.287593229,0.320357003,0.372914539,0.430988269,0.41646906,0.320977286,0.211374326,0.136263226,0.091958145,fallow
0.415891397,0.349118584,0.279367653,0.232630232,0.204535041,0.159134212,0.146665003,0.141555108,0.137523153,fallow
0.819586873,0.788217936,0.760125854,0.663543568,0.600946185,0.685866988,0.613521913,0.519994191,0.479378802,fallow
0.508124281,0.514067682,0.490923837,0.441295885,0.407273888,0.363441229,0.314806314,0.264485896,0.238323953,fallow
0.747423777,0.73234679,0.657895602,0.651459903,0.662042449,0.449069858,0.216789766,0.071075394,-0.022639387,fallow
0.834004964,0.79412775,0.636792251,0.379729967,0.211587559,0.259026046,0.398220621,0.489424355,0.543106681,fallow
0.799988874,0.787869236,0.646358827,0.382861845,0.177232364,0.142151324,0.220847545,0.28823609,0.32330437,fallow
0.295880899,0.323025441,0.298887633,0.24134031,0.201666874,0.196953859,0.250902516,0.297837444,0.325014898,fallow
0.124114518,0.21838558,0.41471636,0.665706985,0.531595058,0.217994961,0.100541269,0.078675621,0.071471079,fallow
0.054778479,0.205282828,0.442779499,0.677707454,0.622915686,0.366413124,0.140121712,0.065525608,0.040635814,potato
0.087762553,0.271247403,0.516823657,0.703895232,0.427001173,0.173926193,0.104470795,0.074463268,0.059585683,potato
0.105346943,0.234460704,0.481122879,0.736462133,0.567652184,0.268420906,0.107645499,0.064663864,0.040204771,potato
0.063439517,0.288841965,0.550170385,0.779002747,0.650496911,0.365399131,0.166485683,0.114701179,0.094139588,potato
0.082472036,0.295560032,0.547928775,0.7914374,0.753407898,0.513088124,0.238239173,0.08991897,0.001647222,potato
0.15242147,0.259492616,0.489742686,0.740574619,0.618551207,0.344681458,0.150740732,0.082003173,0.054400098,potato
0.049743878,0.238662114,0.502864785,0.714000832,0.416683258,0.169746827,0.109175073,0.068191096,0.042181638,potato
0.080728338,0.242991947,0.497324335,0.702586523,0.453056313,0.215419446,0.218173587,0.320230131,0.398675603,potato
